EmployeeKey,EmployeeNationalID,SalesTerritoryKey,FirstName,LastName,FullName,Title,Title,HireDate,BirthDate,EmalAddress,Phone,MediumaritalSmalltatuSmall,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,DepartmentName,StartDate,EndDate,Status
11,695256908,11,Gail,erickson,Gail Erickson,Design Engineer,Design Engineer,8/6/2007,4/27/1952,gail0@adventure-works.com,849-555-0139,Medium,Female,2,32.69,5,22,Engineering,8/6/2007,,Current
12,912265825,11,Barry,Johnson,Barry Johnson,Production   Technician   - WC10,Production Technician - WC10,8/7/2007,10/25/1955,barry0@adventure-works.com,206-555-0180,Small,Male,1,13.45,88,64,Production,8/7/2007,,Current
13,998320692,11,Jossef,Goldberg,Jossef Goldberg,Design    Engineer,Design Engineer,8/24/2007,10/9/1958,jossef0@adventure-works.com,122-555-0189,Medium,Male,2,32.69,6,23,Engineering,8/24/2007,,Current
14,245797967,11,Terri,Duffy,Terri Duffy,Vice President of Engineering,Vice President of Engineering,8/31/2007,3/1/1971,terri0@adventure-works.com,819-555-0175,Small,Female,2,63.46,1,20,Engineering,8/31/2007,,Current
15,844973625,11,Sidney,  Higa,Sidney Higa,Production   Technician   - WC10,Production Technician - WC10,9/2/2007,3/30/1956,sidney0@adventure-works.com,424-555-0189,Medium,Male,1,13.45,84,62,Production,9/2/2007,,Current
16,233069302,11,taylor,Maxwell,Taylor Maxwell,Production Supervisor - WC50,Production Supervisor - WC50,9/8/2007,10/31/1955,taylor0@adventure-works.com,508-555-0165,Medium,Male,2,25.00,79,59,Production,9/8/2007,,Current
17,132674823,11,Jeffrey,ford,Jeffrey Ford,Production   Technician   - WC10,Production Technician - WC10,9/20/2007,2/9/1956,jeffrey0@adventure-works.com,984-555-0185,Small,Male,1,13.45,85,62,Production,9/20/2007,,Current
18,446466105,11,Jo,Brown,Jo Brown,Production Supervisor - WC60,Production Supervisor - WC60,9/27/2007,5/8/1956,jo0@adventure-works.com,632-555-0129,Small,Female,2,25.00,80,60,Production,9/27/2007,,Current
19,565090917,11,Doris,Hartwig,Doris Hartwig,Production   Technician   - WC10,Production Technician - WC10,10/9/2007,11/3/1955,doris0@adventure-works.com,328-555-0150,Medium,Female,1,13.45,86,63,Production,10/9/2007,,Current
20,494170342,11,John,Campbell,John Campbell,Production Supervisor - WC60,Production Supervisor - WC60,10/16/2007,3/7/1956,john0@adventure-works.com,435-555-0113,Medium,Male,2,25.00,81,60,Production,10/16/2007,,Current
21,9659517,11,diane,Glimp,Diane Glimp,Production   Technician   - WC10,Production Technician - WC10,10/27/2007,10/28/1955,diane0@adventure-works.com,202-555-0151,Medium,Female,1,13.45,87,63,Production,10/27/2007,,Curent
22,443968955,11,Steven,Selikoff,Steven Selikoff,Production   Technician   - WC30,Production Technician - WC30,7/1/2008,12/12/1976,steven0@adventure-works.com,925-555-0114,Medium,Male,1,9.50,41,40,Production,7/1/2008,,Current
23,277173473,11,Peter,  KREBS,Peter Krebs,Production Control  Manager,Production Control Manager,7/1/2008,6/3/1982,peter0@adventure-works.com,913-555-0196,Medium,Male,2,24.52,43,41,Production Control,7/1/2008,,Current
24,835460180,11,Stuart,Munson,Stuart Munson,Production   Technician   - WC45,Production Technician - WC45,7/2/2008,4/13/1962,stuart0@adventure-works.com,413-555-0136,Small,Male,1,10.00,84,62,Production,7/2/2008,,Current
25,687685941,11,Greg,Alderson,Greg Alderson,Production   Technician   - WC45,Production Technician - WC45,7/2/2008,11/15/1975,greg0@adventure-works.com,332-555-0150,Small,Male,1,10.00,85,62,Production,7/2/2008,,Current
26,498138869,11,David,Johnson,David Johnson,Production   Technician   - WC30,Production Technician - WC30,7/2/2008,6/2/1979,david1@adventure-works.com,166-555-0162,Small,Male,1,9.50,25,32,Production,7/2/2008,,Current
27,360868122,11,Zheng,Mu,Zheng Mu,Production Supervisor - WC10,Production Supervisor - WC10,7/3/2008,5/26/1983,zheng0@adventure-works.com,113-555-0173,Small,Male,2,25.00,66,53,Production,7/3/2008,,Current
28,964089218,11,Ivo,SALMRE,Ivo Salmre,Production   Technician   - WC20,Production Technician - WC20,7/4/2008,8/3/1981,ivo0@adventure-works.com,115-555-0179,Medium,Male,1,14.00,9,24,Production,7/4/2008,,Current
29,384162788,11,Paul,Komosinski,Paul Komosinski,Production   Technician   - WC40,Production Technician - WC40,7/4/2008,6/13/1980,paul0@adventure-works.com,147-555-0160,Small,Male,1,15.00,68,54,Production,7/4/2008,,Current
30,749389530,11,Ashvini,Sharma,Ashvini Sharma,Network Administrator,Network Administrator,7/4/2008,10/25/1976,ashvini0@adventure-works.com,656-555-0119,Small,Male,2,32.45,70,55,Information Services,7/4/2008,,Current
31,571658797,11,Kendall,Keil,Kendall Keil,Production   Technician   - WC50,Production Technician - WC50,7/5/2008,12/28/1985,kendall0@adventure-works.com,138-555-0128,Medium,Male,1,11.00,11,25,Production,7/5/2008,,Current
32,535145551,11,Paula,Barreto de Mattos,Paula Barreto De Mattos,Human Resources  Manager,Human Resources Manager,7/6/2008,9/11/1975,paula0@adventure-works.com,523-555-0175,Medium,Female,2,27.14,54,47,Human Resources,7/6/2008,,Current
33,761597760,11,Alejandro,McGuel,Alejandro Mcguel,Production   Technician   - WC40,Production Technician - WC40,7/6/2008,7/5/1988,alejandro0@adventure-works.com,668-555-0130,Small,Male,1,15.00,52,46,Production,7/6/2008,,Current
34,271438431,11,Garrett,  Young,Garrett Young,Production   Technician   - WC30,Production Technician - WC30,7/7/2008,3/25/1984,garrett0@adventure-works.com,609-555-0179,Small,Male,1,9.50,34,37,Production,7/7/2008,,Current
34,271438431,11,  Garrett,Young,Garrett Young,Production   Technician   - WC30,Production Technician - WC30,7/7/2008,3/25/1984,garrett0@adventure-works.com,609-555-0179,Small,Male,1,9.50,34,37,Production,7/7/2008,,Current
35,160739235,11,JIAN SHAO,Wang,Jian Shao Wang,Production   Technician   - WC30,Production Technician - WC30,7/7/2008,2/24/1983,jianshuo0@adventure-works.com,952-555-0178,Small,Male,1,9.50,36,38,Production,7/7/2008,,Current
36,586486572,11,Susan,Eaton,Susan Eaton,Stocker,Stocker,7/7/2008,9/17/1977,susan0@adventure-works.com,943-555-0196,Small,Female,1,9.00,97,68,Shipping and Receiving,7/7/2008,,Current
37,337752649,11,Vamsi,Kuppa,Vamsi Kuppa,Shipping and Receiving Clerk,Shipping and Receiving Clerk,7/7/2008,10/16/1976,vamsi0@adventure-works.com,937-555-0137,Medium,Male,2,9.50,95,67,Shipping and Receiving,7/7/2008,,Current
38,113695504,11,Alice,Ciccu,Alice Ciccu,Production   Technician   - WC50,Production Technician - WC50,7/7/2008,8/26/1977,alice0@adventure-works.com,333-555-0173,Medium,Female,1,11.00,95,67,Production,7/7/2008,,Current
39,276751903,11,Simon,Rapier,Simon Rapier,Production   Technician   - WC60,Production Technician - WC60,7/8/2008,12/15/1989,simon0@adventure-works.com,963-555-0134,Small,Male,1,12.45,38,39,Production,7/8/2008,,Current
40,630184120,11,Jinghao,Liu,Jinghao Liu,Production Supervisor - WC50,Production Supervisor - WC50,7/8/2008,9/5/1988,jinghao0@adventure-works.com,794-555-0159,Small,Male,2,25.00,77,58,Production,7/8/2008,,Current
41,545337468,11,Michael,Hines,Michael Hines,Production   Technician   - WC20,Production Technician - WC20,7/9/2008,12/15/1989,michael0@adventure-works.com,218-555-0126,Small,Male,1,14.00,20,30,Production,7/9/2008,,Current
42,713403643,11,Yvonne,McKay,Yvonne Mckay,Production   Technician   - WC45,Production Technician - WC45,7/9/2008,11/13/1988,yvonne0@adventure-works.com,286-555-0189,Medium,Female,1,10.00,79,59,Production,7/9/2008,,Current
43,885055826,11,Peng,Wu,Peng Wu,Quality Assurance Supervisor,Quality Assurance Supervisor,7/9/2008,10/17/1975,peng0@adventure-works.com,164-555-0164,Medium,Male,2,21.63,81,60,Quality Assurance,7/9/2008,,Current
44,441044382,11,Jean,Trenary,Jean Trenary,Information Services  Manager,Information Services Manager,7/11/2008,7/13/1975,jean0@adventure-works.com,685-555-0120,Small,Female,2,50.48,65,52,Information Services,7/11/2008,,Current
45,718299860,11,Russell,Hunter,Russell Hunter,Production   Technician   - WC50,Production Technician - WC50,7/12/2008,6/25/1972,russell0@adventure-works.com,786-555-0144,Medium,Male,1,11.00,6,23,Production,7/12/2008,,Current
46,685233686,11,A. Scott,Wright,A. Scott Wright,Master Scheduler,Master Scheduler,7/12/2008,4/17/1968,ascott0@adventure-works.com,992-555-0194,Small,Male,2,23.56,44,42,Production Control,7/12/2008,,Current
47,295971920,11,fred,Northup,Fred Northup,Production   Technician   - WC40,Production Technician - WC40,7/12/2008,1/23/1989,fred0@adventure-works.com,818-555-0192,Small,Male,1,15.00,47,43,Production,7/12/2008,,Current
48,95958330,11,Sariya,Harnpadoungsataya,Sariya Harnpadoungsataya,Marketing Specialist,Marketing Specialist,7/12/2008,12/19/1986,sariya0@adventure-works.com,399-555-0176,Small,Male,2,14.42,45,42,Marketing,7/12/2008,,Current
49,332040978,11,Willis,Johnson,Willis Johnson,Recruiter,Recruiter,7/13/2008,2/15/1978,willis0@adventure-works.com,778-555-0141,Small,Male,2,18.27,49,44,Human Resources,7/13/2008,,Current
50,857651804,11,Jun,Cao,Jun Cao,Production   Technician   - WC50,Production Technician - WC50,7/14/2008,2/3/1979,jun0@adventure-works.com,299-555-0113,Small,Male,1,11.00,90,65,Production,7/14/2008,,Current
51,553069203,11,Christian,  Kleinerman,Christian Kleinerman,Maintenance Supervisor,Maintenance Supervisor,7/14/2008,8/18/1975,christian0@adventure-works.com,846-555-0157,Medium,Male,2,20.43,92,66,Facilities and Maintenance,7/14/2008,,Current
52,351069889,11,Susan,Metters,Susan Metters,Production   Technician   - WC30,Production Technician - WC30,7/14/2008,10/31/1982,susan1@adventure-works.com,639-555-0164,Small,Female,1,9.50,31,35,Production,7/14/2008,,Current
53,370989364,11,Reuben,D'sa,Reuben D'Sa,Production Supervisor - WC40,Production Supervisor - WC40,7/15/2008,3/27/1987,reuben0@adventure-works.com,191-555-0112,Medium,Male,2,25.00,72,56,Production,7/15/2008,,Current
54,275962311,11,kirk,Koenigsbauer,Kirk Koenigsbauer,Production   Technician   - WC45,Production Technician - WC45,7/15/2008,9/6/1984,kirk0@adventure-works.com,669-555-0150,Small,Male,1,10.00,74,57,Production,7/15/2008,,Current
55,36151748,11,David,Ortiz,David Ortiz,Production   Technician   - WC60,Production Technician - WC60,7/15/2008,7/29/1984,david2@adventure-works.com,712-555-0119,Medium,Male,1,12.45,33,36,Production,7/15/2008,,Current
56,540688287,11,Tengiz,Kharatishvili,Tengiz Kharatishvili,Control Specialist,Control Specialist,7/16/2008,11/26/1989,tengiz0@adventure-works.com,910-555-0116,Small,Male,2,16.83,76,58,Document Control,7/16/2008,,Current
57,568596888,11,Hanying,Feng,Hanying Feng,Production   Technician   - WC20,Production Technician - WC20,7/16/2008,5/16/1974,hanying0@adventure-works.com,319-555-0139,Small,Male,1,14.00,15,27,Production,7/16/2008,,Current
58,918737118,11,Kevin,Liu,Kevin Liu,Production   Technician   - WC40,Production Technician - WC40,7/17/2008,7/25/1985,kevin1@adventure-works.com,714-555-0138,Small,Male,1,15.00,58,49,Production,7/17/2008,,Current
59,801758002,11,Annik,Stahl,Annik Stahl,Production   Technician   - WC60,Production Technician - WC60,7/17/2008,7/26/1976,annik0@adventure-works.com,499-555-0125,Medium,Male,1,12.45,17,28,Production,7/17/2008,,Current
60,415823523,11,suroor,Fatima,Suroor Fatima,Production   Technician   - WC50,Production Technician - WC50,7/17/2008,9/25/1977,suroor0@adventure-works.com,932-555-0161,Small,Male,1,11.00,93,66,Production,7/17/2008,,Current
61,363923697,11,  Deborah,Poe,Deborah Poe,Accounts Receivable Specialist,Accounts Receivable Specialist,7/18/2008,10/5/1975,deborah0@adventure-works.com,602-555-0194,Medium,Female,2,19.00,60,50,Finance,7/18/2008,,Current
62,674171828,11,Jim,Scardelis,Jim Scardelis,Production   Technician   - WC50,Production Technician - WC50,7/19/2008,4/8/1986,jim0@adventure-works.com,679-555-0113,Medium,Male,1,11.00,1,20,Production,7/19/2008,,Current
63,138280935,11,Carole,Poland,Carole Poland,Production   Technician   - WC30,Production Technician - WC30,7/19/2008,5/19/1983,carole0@adventure-works.com,688-555-0192,Medium,Female,1,9.50,42,41,Production,7/19/2008,,Current
64,476115505,11,george,Li,George Li,Production   Technician   - WC30,Production Technician - WC30,7/21/2008,11/14/1976,george0@adventure-works.com,518-555-0199,Medium,Male,1,9.50,26,33,Production,7/21/2008,,Current
65,502058701,11,Gary,Yukish,Gary Yukish,Production   Technician   - WC40,Production Technician - WC40,7/22/2008,12/15/1987,gary0@adventure-works.com,901-555-0125,Small,Male,1,15.00,69,54,Production,7/22/2008,,Current
66,7201901,11,Cristian,Petculescu,Cristian Petculescu,Production Supervisor - WC10,Production Supervisor - WC10,7/22/2008,11/10/1983,cristian0@adventure-works.com,434-555-0133,Medium,Male,2,25.00,67,53,Production,7/22/2008,,Current
67,97728960,11,Raymond,Sam,Raymond Sam,Production   Technician   - WC20,Production Technician - WC20,7/23/2008,9/30/1966,raymond0@adventure-works.com,226-555-0197,Medium,Male,1,14.00,10,25,Production,7/23/2008,,Current
68,525932996,11,Janaina,BUENO,Janaina Bueno,Application Specialist,Application Specialist,7/23/2008,8/30/1984,janaina0@adventure-works.com,623-555-0155,Medium,Female,2,27.40,71,55,Information Services,7/23/2008,,Current
69,843479922,11,Bob,Hohman,Bob Hohman,Production   Technician   - WC50,Production Technician - WC50,7/24/2008,3/16/1979,bob0@adventure-works.com,611-555-0116,Small,Male,1,11.00,12,26,Production,7/24/2008,,Current
70,370487086,11,Shammi,Mohamed,Shammi Mohamed,Production   Technician   - WC40,Production Technician - WC40,7/24/2008,5/4/1980,shammi0@adventure-works.com,793-555-0179,Medium,Male,1,15.00,53,46,Production,7/24/2008,,Current
71,54759846,11,Linda,Moschell,Linda Moschell,Production   Technician   - WC50,Production Technician - WC50,7/25/2008,2/14/1987,linda0@adventure-works.com,612-555-0171,Medium,Female,1,11.00,96,68,Production,7/25/2008,,Current
72,619308550,11,Mindy,Martin,Mindy Martin,Benefits Specialist,Benefits Specialist,7/25/2008,6/20/1984,mindy0@adventure-works.com,522-555-0147,Medium,Female,2,16.59,51,45,Human Resources,7/25/2008,,Current
73,121491555,11,WENDY,Kahn,Wendy Kahn,Finance  Manager,Finance Manager,7/25/2008,5/11/1984,wendy0@adventure-works.com,248-555-0134,Small,Female,2,43.27,55,47,Finance,7/25/2008,,Current
74,420776180,11,Kim,Ralls,Kim Ralls,Stocker,Stocker,7/26/2008,11/29/1983,kim0@adventure-works.com,309-555-0129,Small,Female,1,9.00,98,69,Shipping and Receiving,7/26/2008,,Current
75,604664374,11,Sandra,Re tegui Alayo,Sandra Re tegui Alayo,Production   Technician   - WC30,Production Technician - WC30,7/26/2008,6/5/1975,sandra0@adventure-works.com,896-555-0168,Medium,Female,1,9.50,37,38,Production,7/26/2008,,Current
76,778552911,11,Kok-Ho,Loh,Kok-Ho Loh,Production Supervisor - WC50,Production Supervisor - WC50,7/27/2008,11/27/1979,kok-ho0@adventure-works.com,999-555-0155,Small,Male,2,25.00,78,59,Production,7/27/2008,,Current
77,435234965,11,Douglas,Hite,Douglas Hite,Production   Technician   - WC45,Production Technician - WC45,7/27/2008,6/24/1985,douglas0@adventure-works.com,808-555-0172,Medium,Male,1,10.00,80,60,Production,7/27/2008,,Current
78,339712426,11,James,Kramer,James Kramer,Production   Technician   - WC60,Production Technician - WC60,7/27/2008,2/23/1984,james0@adventure-works.com,119-555-0117,Medium,Male,1,12.45,39,39,Production,7/27/2008,,Current
79,403414852,11,Sean,  Alexander,Sean Alexander,Quality Assurance   Technician  ,Quality Assurance Technician,7/28/2008,10/5/1975,sean0@adventure-works.com,420-555-0173,Small,Male,2,10.58,82,61,Quality Assurance,7/28/2008,,Current
80,368920189,11,Nitin,Mirchandani,Nitin Mirchandani,Production   Technician   - WC20,Production Technician - WC20,7/28/2008,7/1/1986,nitin0@adventure-works.com,143-555-0173,Small,Male,1,14.00,21,30,Production,7/28/2008,,Current
81,811994146,11,  Diane,Margheim,Diane Margheim,Research and Development Engineer,Research and Development Engineer,7/29/2008,1/3/1986,diane1@adventure-works.com,815-555-0138,Small,Female,2,40.87,62,51,Research and Development,7/29/2008,,Current
82,330211482,11,Rebecca,Laszlo,Rebecca Laszlo,Production   Technician   - WC60,Production Technician - WC60,7/29/2008,2/4/1988,rebecca0@adventure-works.com,314-555-0113,Medium,Female,1,12.45,23,31,Production,7/29/2008,,Current
83,632092621,11,Rajesh,Patel,Rajesh Patel,Production   Technician   - WC40,Production Technician - WC40,7/31/2008,5/4/1977,rajesh0@adventure-works.com,373-555-0137,Medium,Male,1,15.00,48,44,Production,7/31/2008,,Current
84,264306399,11,Vidur,Luthra,Vidur Luthra,Recruiter,Recruiter,8/1/2008,3/1/1984,vidur0@adventure-works.com,153-555-0186,Small,Male,2,18.27,50,45,Human Resources,8/1/2008,,Current
85,981597097,11,John,Evans,John Evans,Production   Technician   - WC50,Production Technician - WC50,8/1/2008,12/29/1977,john1@adventure-works.com,172-555-0130,Small,Male,1,11.00,91,65,Production,8/1/2008,,Current
86,693325305,11,Nancy,Anderson,Nancy Anderson,Production   Technician   - WC60,Production Technician - WC60,8/2/2008,6/19/1988,nancy0@adventure-works.com,970-555-0118,Medium,Female,1,12.45,34,37,Production,8/2/2008,,Current
87,521265716,11,Pilar,Ackerman,Pilar Ackerman,Shipping and Receiving Supervisor,Shipping and Receiving Supervisor,8/2/2008,4/9/1972,pilar0@adventure-works.com,577-555-0185,Small,Male,2,19.23,93,66,Shipping and Receiving,8/2/2008,,Current
88,746373306,11,David,Yalovsky,David Yalovsky,Production   Technician   - WC30,Production Technician - WC30,8/2/2008,3/3/1981,david3@adventure-works.com,373-555-0142,Small,Male,1,9.50,32,36,Production,8/2/2008,,Current
89,750905084,11,David,Hamilton,David Hamilton,Production Supervisor - WC40,Production Supervisor - WC40,8/3/2008,1/30/1983,david4@adventure-works.com,986-555-0177,Small,Male,2,25.00,73,56,Production,8/3/2008,,Current
90,514829225,11,Laura,Steele,Laura Steele,Production   Technician   - WC45,Production Technician - WC45,8/3/2008,7/25/1980,laura0@adventure-works.com,777-555-0141,Small,Female,1,10.00,75,57,Production,8/3/2008,,Current
91,750246141,11,Margie,Shoop,Margie Shoop,Production   Technician   - WC60,Production Technician - WC60,8/4/2008,12/18/1985,margie0@adventure-works.com,818-555-0128,Medium,Female,1,12.45,18,29,Production,8/4/2008,,Current
92,345106466,11,Zainal,Arifin,Zainal Arifin,Document Control  Manager,Document Control Manager,8/4/2008,8/30/1975,zainal0@adventure-works.com,204-555-0115,Medium,Male,2,17.79,77,58,Document Control,8/4/2008,,Current
93,19312190,11,Lorraine,Nay,Lorraine Nay,Production   Technician   - WC40,Production Technician - WC40,8/4/2008,6/26/1988,lorraine0@adventure-works.com,845-555-0184,Medium,Female,1,15.00,49,44,Production,8/4/2008,,Current
94,212801092,11,Fadi,Fakhouri,Fadi Fakhouri,Production   Technician   - WC20,Production Technician - WC20,8/4/2008,9/15/1988,fadi0@adventure-works.com,935-555-0116,Small,Male,1,14.00,16,28,Production,8/4/2008,,Current
95,769680433,11,Ryan,Cornelsen,Ryan Cornelsen,Production   Technician   - WC40,Production Technician - WC40,8/5/2008,1/12/1972,ryan0@adventure-works.com,208-555-0114,Medium,Male,1,15.00,59,49,Production,8/5/2008,,Current
96,60517918,11,Candy,Spoon,Candy Spoon,Accounts Receivable Specialist,Accounts Receivable Specialist,8/6/2008,9/23/1975,candy0@adventure-works.com,920-555-0177,Small,Female,2,19.00,61,50,Finance,8/6/2008,,Current
97,431859843,11,Nuan,Yu,Nuan Yu,Production   Technician   - WC50,Production Technician - WC50,8/6/2008,10/27/1978,nuan0@adventure-works.com,913-555-0184,Small,Male,1,11.00,2,21,Production,8/6/2008,,Current
98,621209647,11,William,Vong,William Vong,Scheduling Assistant,Scheduling Assistant,8/7/2008,6/6/1981,william0@adventure-works.com,148-555-0145,Medium,Male,2,16.00,45,42,Production Control,8/7/2008,3/31/2011,
99,621209647,11,William,Vong,William Vong,Scheduling Assistant,Scheduling Assistant,8/7/2008,6/6/1981,william0@adventure-works.com,148-555-0145,Medium,Male,2,16.00,45,42,Production Control,4/1/2011,,Current
100,420023788,11,Bjorn,Rettig,Bjorn Rettig,Production   Technician   - WC30,Production Technician - WC30,8/7/2008,6/6/1989,bjorn0@adventure-works.com,199-555-0117,Small,Male,1,9.50,43,41,Production,8/7/2008,,Current
101,199546871,11,Scott,Gode,Scott Gode,Production   Technician   - WC45,Production Technician - WC45,8/8/2008,9/10/1986,scott0@adventure-works.com,391-555-0138,Medium,Male,1,10.00,86,63,Production,8/8/2008,,Current
102,830150469,11,Michael,Rothkugel,Michael Rothkugel,Production   Technician   - WC40,Production Technician - WC40,8/10/2008,8/4/1990,michael1@adventure-works.com,454-555-0119,Small,Male,1,15.00,70,55,Production,8/10/2008,,Current
103,322160340,11,Lane,Sacksteder,Lane Sacksteder,Production   Technician   - WC20,Production Technician - WC20,8/11/2008,4/23/1974,lane0@adventure-works.com,200-555-0117,Medium,Male,1,14.00,11,25,Production,8/11/2008,,Current
104,827686041,11,Pete,Male,Pete Male,Production   Technician   - WC50,Production Technician - WC50,8/11/2008,9/3/1976,pete0@adventure-works.com,768-555-0123,Small,Male,1,11.00,13,26,Production,8/11/2008,,Current
105,671089628,11,Dan,Bacon,Dan Bacon,Application Specialist,Application Specialist,8/11/2008,1/24/1981,dan0@adventure-works.com,166-555-0159,Medium,Male,2,27.40,72,56,Information Services,8/11/2008,,Current
106,231203233,11,David,Barber,David Barber,Assistant to the Chief Financial Officer,Assistant to the Chief Financial Officer,8/12/2008,1/20/1964,david5@adventure-works.com,477-555-0132,Small,Male,2,13.46,56,48,Finance,8/12/2008,,Current
107,204035155,11,Lolan,Song,Lolan Song,Production   Technician   - WC50,Production Technician - WC50,8/12/2008,8/24/1972,lolan0@adventure-works.com,582-555-0178,Medium,Male,1,11.00,7,23,Production,8/12/2008,,Current
108,992874797,11,Paula,Nartker,Paula Nartker,Production   Technician   - WC40,Production Technician - WC40,8/12/2008,9/10/1986,paula1@adventure-works.com,476-555-0119,Medium,Female,1,15.00,54,47,Production,8/12/2008,,Current
109,767955365,11,Mary,Gibson,Mary Gibson,Marketing Specialist,Marketing Specialist,8/12/2008,4/13/1962,mary0@adventure-works.com,531-555-0183,Medium,Female,2,14.42,46,43,Marketing,8/12/2008,,Current
110,342607223,11,Mindaugas,Krapauskas,Mindaugas Krapauskas,Production   Technician   - WC50,Production Technician - WC50,8/13/2008,12/5/1977,mindaugas0@adventure-works.com,637-555-0120,Medium,Male,1,11.00,97,68,Production,8/13/2008,,Current
111,45615666,11,Eric,Gubbels,Eric Gubbels,Production Supervisor - WC20,Production Supervisor - WC20,8/14/2008,8/19/1984,eric0@adventure-works.com,260-555-0119,Medium,Male,2,25.00,40,40,Production,8/14/2008,,Current
112,295847284,11,Ken,S nchez,Ken S nchez,Chief Executive Officer,Chief Executive Officer,8/14/2008,8/29/1968,ken0@adventure-works.com,697-555-0142,Small,Male,2,125.50,99,69,Executive,8/14/2008,,Current
113,733022683,11,Jason,Watters,Jason Watters,Production   Technician   - WC30,Production Technician - WC30,8/14/2008,7/7/1988,jason0@adventure-works.com,571-555-0179,Small,Male,1,9.50,38,39,Production,8/14/2008,,Current
114,381772114,11,Mark,Harrington,Mark Harrington,Quality Assurance   Technician  ,Quality Assurance Technician,8/15/2008,11/28/1985,mark0@adventure-works.com,147-555-0179,Small,Male,2,10.58,83,61,Quality Assurance,8/15/2008,,Current
115,187369436,11,Janeth,Esteves,Janeth Esteves,Production   Technician   - WC45,Production Technician - WC45,8/15/2008,2/22/1972,janeth0@adventure-works.com,540-555-0191,Small,Female,1,10.00,81,60,Production,8/15/2008,,Current
116,364818297,11,Marc,Ingle,Marc Ingle,Production   Technician   - WC30,Production Technician - WC30,8/16/2008,5/24/1986,marc0@adventure-works.com,234-555-0169,Medium,Male,1,9.50,22,31,Production,8/16/2008,,Current
117,658797903,11,Gigi,Matthew,Gigi Matthew,Research and Development Engineer,Research and Development Engineer,8/16/2008,8/21/1978,gigi0@adventure-works.com,185-555-0186,Medium,Female,2,40.87,63,51,Research and Development,8/16/2008,,Current
118,886023130,11,Paul,Singh,Paul Singh,Production   Technician   - WC20,Production Technician - WC20,8/17/2008,6/4/1990,paul1@adventure-works.com,727-555-0112,Medium,Male,1,14.00,6,23,Production,8/17/2008,,Current
119,749211824,11,Frank,Lee,Frank Lee,Production   Technician   - WC40,Production Technician - WC40,8/17/2008,4/6/1987,frank0@adventure-works.com,158-555-0191,Medium,Male,1,15.00,56,48,Production,8/17/2008,,Current
120,643805155,11,Fran ois,Ajenstat,Fran ois Ajenstat,Database Administrator,Database Administrator,8/17/2008,6/13/1980,fran ois0@adventure-works.com,785-555-0110,Small,Male,2,38.46,67,53,Information Services,8/17/2008,,Current
